match_id,player_slot,gold_per_min,xp_per_min,kills,deaths,assists,level,radiant_win
0,0,347,362,9,3,18,16,1
0,1,494,659,13,3,18,22,1
0,2,350,385,0,4,15,17,1
0,3,599,605,8,4,19,21,1
0,4,613,762,20,3,17,24,1
0,128,397,524,5,6,8,19,1
0,129,303,369,4,13,5,16,1
0,130,452,517,4,8,6,19,1
0,131,189,223,1,14,8,12,1
0,132,496,456,1,11,6,18,1
1,0,218,206,3,4,9,12,0
1,1,581,756,9,10,8,25,0
1,2,339,352,5,13,11,16,0
1,3,460,544,12,15,9,21,0
1,4,365,436,6,11,12,18,0
1,128,600,509,2,12,24,20,0
1,129,487,517,8,5,17,20,0
1,130,488,583,14,8,9,21,0
1,131,631,755,16,5,21,25,0
1,132,585,753,10,7,12,25,0
2,0,237,249,5,13,7,14,0
2,1,322,358,6,11,5,17,0
2,2,355,425,10,6,8,19,0
2,3,328,345,0,9,4,17,0
2,4,189,229,1,10,7,13,0
2,128,450,567,13,7,18,22,0
2,129,376,461,5,6,28,20,0
2,130,493,535,17,2,14,21,0
2,131,389,454,7,2,13,19,0
2,132,313,363,6,5,17,17,0
3,0,290,378,4,13,21,19,0
3,1,498,619,24,13,22,24,0
3,2,454,635,17,11,18,25,0
3,3,286,351,2,17,21,18,0
3,4,453,620,17,12,10,24,0
3,128,459,632,13,8,20,25,0
3,129,523,630,18,11,19,25,0
3,130,323,436,7,16,24,20,0
3,131,331,302,5,19,28,17,0
3,132,500,631,20,11,19,25,0
4,0,732,683,8,2,10,20,1
4,1,707,694,18,4,9,20,1
4,2,424,372,1,3,13,14,1
4,3,348,309,1,4,15,13,1
4,4,624,541,9,3,12,18,1
4,128,308,309,4,7,5,13,1
4,129,235,205,3,9,5,11,1
4,130,271,313,4,5,6,13,1
4,131,418,467,4,5,6,16,1
4,132,289,272,1,11,8,12,1
5,0,496,507,13,6,14,15,1
5,1,411,309,3,7,16,11,1
5,2,631,644,13,3,19,17,1
5,3,604,626,14,1,21,17,1
5,4,423,388,6,6,17,13,1
5,128,321,302,2,10,4,11,1
5,129,319,330,5,12,8,12,1
5,130,312,269,5,9,6,11,1
5,131,285,346,2,9,8,13,1
5,132,420,430,7,11,9,14,1
6,0,320,348,1,7,14,15,1
6,1,719,776,20,3,9,22,1
6,2,543,628,5,2,18,20,1
6,3,564,507,10,10,13,18,1
6,4,425,426,4,7,19,16,1
6,128,293,326,4,10,13,14,1
6,129,460,483,8,7,8,18,1
6,130,329,443,3,6,15,17,1
6,131,245,250,5,11,15,12,1
6,132,531,551,8,10,9,19,1
7,0,607,517,9,3,14,19,1
7,1,638,816,16,3,13,24,1
7,2,385,391,4,7,19,16,1
7,3,444,505,14,7,8,19,1
7,4,557,609,11,6,17,21,1
7,128,558,776,6,10,7,24,1
7,129,250,240,6,11,4,13,1
7,130,301,320,3,12,10,15,1
7,131,440,593,6,10,6,21,1
7,132,191,225,1,12,8,12,1
8,0,403,399,5,10,7,15,0
8,1,352,410,3,9,7,16,0
8,2,246,269,2,6,7,13,0
8,3,358,379,4,13,7,15,0
8,4,303,394,3,13,9,15,0
8,128,461,476,9,3,11,17,0
8,129,588,686,17,2,8,20,0
8,130,604,733,15,4,11,21,0
8,131,545,500,4,4,7,17,0
8,132,439,405,5,5,13,16,0
9,0,309,465,8,8,11,20,0
9,1,221,244,5,17,4,15,0
9,2,395,437,12,12,14,20,0
9,3,232,281,4,14,15,16,0
9,4,393,615,8,7,20,24,0
9,128,500,659,16,5,25,25,0
9,129,404,615,11,6,23,24,0
9,130,356,395,9,12,18,19,0
9,131,651,658,15,3,14,25,0
9,132,332,399,6,14,18,19,0
10,0,398,366,4,2,6,13,1
10,1,243,274,0,2,3,11,1
10,2,917,871,24,1,3,20,1
10,3,533,402,3,4,2,14,1
10,4,415,570,1,4,14,16,1
10,128,205,198,3,10,3,9,1
10,129,225,205,2,7,4,9,1
10,130,386,449,5,6,3,14,1
10,131,220,271,2,5,2,11,1
10,132,211,198,1,7,4,9,1
11,0,581,593,7,8,19,25,0
11,1,339,462,3,13,13,22,0
11,2,307,517,4,8,14,23,0
11,3,597,597,21,11,7,25,0
11,4,310,430,5,9,11,21,0
11,128,423,469,11,7,22,22,0
11,129,564,601,15,11,17,25,0
11,130,603,599,14,3,8,25,0
11,131,448,592,8,9,15,25,0
11,132,423,426,0,12,10,21,0
12,0,554,498,18,13,14,25,0
12,1,584,487,19,9,23,25,0
12,2,276,368,5,9,32,21,0
12,3,337,464,13,13,24,24,0
12,4,522,494,9,12,23,25,0
12,128,419,414,15,13,6,23,0
12,129,453,487,12,12,11,25,0
12,130,688,487,17,10,4,25,0
12,131,362,403,4,27,9,22,0
12,132,422,486,7,13,16,25,0
13,0,496,527,5,6,6,20,1
13,1,409,393,8,9,11,17,1
13,2,390,379,8,3,8,17,1
13,3,410,502,3,4,12,19,1
13,4,416,524,10,3,4,20,1
13,128,340,338,4,5,6,16,1
13,129,376,429,7,4,5,18,1
13,130,267,300,5,9,8,15,1
13,131,274,341,3,13,12,16,1
13,132,376,421,6,5,5,18,1
14,0,368,342,4,5,6,13,1
14,1,500,377,4,5,5,14,1
14,2,926,1102,22,3,1,24,1
14,3,427,372,3,4,12,14,1
14,4,512,522,8,4,7,16,1
14,128,304,366,2,11,2,14,1
14,129,354,476,5,11,4,16,1
14,130,202,216,7,6,1,11,1
14,131,265,349,2,7,1,13,1
14,132,308,333,4,8,4,13,1
15,0,353,534,6,9,19,23,0
15,1,507,625,16,12,15,25,0
15,2,332,384,7,17,8,19,0
15,3,384,616,7,13,20,24,0
15,4,514,622,16,14,13,25,0
15,128,517,627,12,14,23,25,0
15,129,453,582,11,11,12,24,0
15,130,500,626,14,8,20,25,0
15,131,459,610,13,9,28,24,0
15,132,528,627,12,14,17,25,0
16,0,412,463,8,15,11,22,0
16,1,353,477,2,4,18,22,0
16,2,427,498,15,13,6,23,0
16,3,484,586,15,8,12,25,0
16,4,354,469,9,9,10,22,0
16,128,789,587,12,8,24,25,0
16,129,422,538,8,11,16,23,0
16,130,305,393,3,10,20,20,0
16,131,528,585,19,9,15,25,0
16,132,348,358,3,13,17,19,0
17,0,456,504,9,13,17,24,1
17,1,411,470,10,11,16,23,1
17,2,399,420,13,13,14,22,1
17,3,462,461,13,12,18,23,1
17,4,556,514,12,8,15,25,1
17,128,241,279,2,9,14,18,1
17,129,523,511,16,13,17,25,1
17,130,382,476,6,15,19,24,1
17,131,437,516,16,8,28,25,1
17,132,501,512,16,12,20,25,1
18,0,337,463,5,4,15,20,0
18,1,230,243,3,7,4,14,0
18,2,545,610,13,6,10,23,0
18,3,289,340,6,4,15,17,0
18,4,609,637,11,6,10,24,0
18,128,888,698,3,6,8,25,0
18,129,315,348,5,12,11,17,0
18,130,579,691,7,3,8,25,0
18,131,330,354,4,9,10,17,0
18,132,529,529,8,8,9,21,0
19,0,339,293,4,9,13,14,1
19,1,536,500,5,7,8,18,1
19,2,320,302,1,5,11,14,1
19,3,801,759,17,2,12,23,1
19,4,362,393,6,5,10,16,1
19,128,218,230,0,11,12,12,1
19,129,766,876,22,3,4,25,1
19,130,242,219,0,7,5,11,1
19,131,627,520,3,8,13,19,1
19,132,246,255,3,6,8,13,1
20,0,472,517,9,3,11,19,1
20,1,591,705,14,9,10,22,1
20,2,512,514,4,5,6,19,1
20,3,366,360,6,4,11,16,1
20,4,322,233,3,9,17,12,1
20,128,508,418,10,8,3,17,1
20,129,298,464,4,7,11,18,1
20,130,385,443,7,13,10,17,1
20,131,443,555,3,7,8,20,1
20,132,428,458,6,3,10,18,1
21,0,600,633,11,6,18,20,1
21,1,360,419,3,3,16,16,1
21,2,466,504,9,5,15,17,1
21,3,384,383,3,8,14,15,1
21,4,665,583,12,3,12,19,1
21,128,314,321,3,9,8,14,1
21,129,383,489,7,9,5,17,1
21,130,306,350,4,10,13,14,1
21,131,208,244,4,10,7,12,1
21,132,481,541,4,4,4,18,1
22,0,372,470,3,5,26,20,1
22,1,413,577,5,6,30,22,1
22,2,462,607,21,8,15,23,1
22,3,525,712,12,7,22,25,1
22,4,499,580,13,7,17,22,1
22,128,422,538,12,10,8,21,1
22,129,314,311,2,9,10,16,1
22,130,248,310,4,11,10,16,1
22,131,416,571,8,13,11,22,1
22,132,362,405,6,12,7,18,1
23,0,420,397,7,6,22,18,1
23,1,498,506,12,13,16,21,1
23,2,426,444,6,10,14,19,1
23,3,678,712,9,5,6,25,1
23,4,418,336,8,16,15,17,1
23,128,438,500,10,2,16,20,1
23,129,310,349,15,8,19,17,1
23,130,337,395,8,13,11,18,1
23,131,329,401,5,12,32,18,1
23,132,338,376,11,7,14,18,1
24,0,297,397,5,8,23,19,1
24,1,384,434,13,11,18,20,1
24,2,286,356,4,12,27,18,1
24,3,377,466,10,8,13,21,1
24,4,417,421,8,11,7,20,1
24,128,629,604,13,9,22,24,1
24,129,374,482,7,4,25,21,1
24,130,439,454,11,12,16,20,1
24,131,487,612,14,6,15,24,1
24,132,288,312,5,13,19,17,1
25,0,478,498,15,8,4,19,1
25,1,436,473,4,7,11,19,1
25,2,528,521,2,3,12,20,1
25,3,283,246,1,11,15,13,1
25,4,607,809,12,3,12,25,1
25,128,214,213,5,9,12,12,1
25,129,527,569,11,7,9,21,1
25,130,298,401,6,8,9,17,1
25,131,314,587,8,3,13,21,1
25,132,392,446,2,7,2,18,1
26,0,412,265,3,1,4,11,0
26,1,520,508,5,0,4,15,0
26,2,498,375,5,6,11,13,0
26,3,668,560,11,0,5,16,0
26,4,642,584,4,2,9,16,0
26,128,398,402,4,5,4,13,0
26,129,361,409,2,5,1,13,0
26,130,158,140,1,9,1,8,0
26,131,269,284,1,5,1,11,0
26,132,191,193,1,5,1,9,0
27,0,287,292,3,10,8,13,0
27,1,471,606,12,12,7,20,0
27,2,386,451,3,9,6,17,0
27,3,374,428,6,12,8,16,0
27,4,412,412,1,8,7,16,0
27,128,735,918,18,5,15,25,0
27,129,550,487,7,7,15,18,0
27,130,507,386,5,5,15,16,0
27,131,624,627,7,3,13,20,0
27,132,441,415,12,7,13,16,0
28,0,331,353,4,7,16,15,0
28,1,795,755,16,4,8,23,0
28,2,332,365,4,2,16,15,0
28,3,631,703,13,6,10,22,0
28,4,447,483,9,5,16,18,0
28,128,433,460,7,8,9,17,0
28,129,294,316,4,9,6,14,0
28,130,338,351,3,11,9,15,0
28,131,338,410,5,8,10,16,0
28,132,234,258,2,10,10,13,0
29,0,512,573,17,8,25,25,0
29,1,363,427,15,9,9,21,0
29,2,362,446,7,7,12,22,0
29,3,378,484,21,8,11,22,0
29,4,350,331,3,10,14,18,0
29,128,377,347,11,18,18,19,0
29,129,321,289,0,14,7,17,0
29,130,448,573,7,14,21,25,0
29,131,596,578,16,7,10,25,0
29,132,434,480,8,10,17,22,0
30,0,452,437,1,12,19,18,1
30,1,337,385,7,10,14,17,1
30,2,626,667,20,6,13,22,1
30,3,407,433,7,8,15,18,1
30,4,468,601,8,2,17,21,1
30,128,310,411,9,7,6,17,1
30,129,278,378,6,7,4,17,1
30,130,320,421,6,4,12,18,1
30,131,322,384,12,11,13,17,1
30,132,233,296,3,14,8,15,1
